,0
0,total_sqft
1,bath
2,price
3,bhk
4,1st Block Jayanagar
5,1st Phase JP Nagar
6,2nd Phase Judicial Layout
7,2nd Stage Nagarbhavi
8,5th Block Hbr Layout
9,5th Phase JP Nagar
10,6th Phase JP Nagar
11,7th Phase JP Nagar
12,8th Phase JP Nagar
13,9th Phase JP Nagar
14,AECS Layout
15,Abbigere
16,Akshaya Nagar
17,Ambalipura
18,Ambedkar Nagar
19,Amruthahalli
20,Anandapura
21,Ananth Nagar
22,Anekal
23,Anjanapura
24,Ardendale
25,Arekere
26,Attibele
27,BEML Layout
28,BTM 2nd Stage
29,BTM Layout
30,Babusapalaya
31,Badavala Nagar
32,Balagere
33,Banashankari
34,Banashankari Stage II
35,Banashankari Stage III
36,Banashankari Stage V
37,Banashankari Stage VI
38,Banaswadi
39,Banjara Layout
40,Bannerghatta
41,Bannerghatta Road
42,Basavangudi
43,Basaveshwara Nagar
44,Battarahalli
45,Begur
46,Begur Road
47,Bellandur
48,Benson Town
49,Bharathi Nagar
50,Bhoganhalli
51,Billekahalli
52,Binny Pete
53,Bisuvanahalli
54,Bommanahalli
55,Bommasandra
56,Bommasandra Industrial Area
57,Bommenahalli
58,Brookefield
59,Budigere
60,CV Raman Nagar
61,Chamrajpet
62,Chandapura
63,Channasandra
64,Chikka Tirupathi
65,Chikkabanavar
66,Chikkalasandra
67,Choodasandra
68,Cooke Town
69,Cox Town
70,Cunningham Road
71,Dasanapura
72,Dasarahalli
73,Devanahalli
74,Devarachikkanahalli
75,Dodda Nekkundi
76,Doddaballapur
77,Doddakallasandra
78,Doddathoguru
79,Domlur
80,Dommasandra
81,EPIP Zone
82,Electronic City
83,Electronic City Phase II
84,Electronics City Phase 1
85,Frazer Town
86,GM Palaya
87,Garudachar Palya
88,Giri Nagar
89,Gollarapalya Hosahalli
90,Gottigere
91,Green Glen Layout
92,Gubbalala
93,Gunjur
94,HAL 2nd Stage
95,HBR Layout
96,HRBR Layout
97,HSR Layout
98,Haralur Road
99,Harlur
100,Hebbal
101,Hebbal Kempapura
102,Hegde Nagar
103,Hennur
104,Hennur Road
105,Hoodi
106,Horamavu Agara
107,Horamavu Banaswadi
108,Hormavu
109,Hosa Road
110,Hosakerehalli
111,Hoskote
112,Hosur Road
113,Hulimavu
114,ISRO Layout
115,ITPL
116,Iblur Village
117,Indira Nagar
118,JP Nagar
119,Jakkur
120,Jalahalli
121,Jalahalli East
122,Jigani
123,Judicial Layout
124,KR Puram
125,Kadubeesanahalli
126,Kadugodi
127,Kaggadasapura
128,Kaggalipura
129,Kaikondrahalli
130,Kalena Agrahara
131,Kalyan nagar
132,Kambipura
133,Kammanahalli
134,Kammasandra
135,Kanakapura
136,Kanakpura Road
137,Kannamangala
138,Karuna Nagar
139,Kasavanhalli
140,Kasturi Nagar
141,Kathriguppe
142,Kaval Byrasandra
143,Kenchenahalli
144,Kengeri
145,Kengeri Satellite Town
146,Kereguddadahalli
147,Kodichikkanahalli
148,Kodigehaali
149,Kodigehalli
150,Kodihalli
151,Kogilu
152,Konanakunte
153,Koramangala
154,Kothannur
155,Kothanur
156,Kudlu
157,Kudlu Gate
158,Kumaraswami Layout
159,Kundalahalli
160,LB Shastri Nagar
161,Laggere
162,Lakshminarayana Pura
163,Lingadheeranahalli
164,Magadi Road
165,Mahadevpura
166,Mahalakshmi Layout
167,Mallasandra
168,Malleshpalya
169,Malleshwaram
170,Marathahalli
171,Margondanahalli
172,Marsur
173,Mico Layout
174,Munnekollal
175,Murugeshpalya
176,Mysore Road
177,NGR Layout
178,NRI Layout
179,Nagarbhavi
180,Nagasandra
181,Nagavara
182,Nagavarapalya
183,Narayanapura
184,Neeladri Nagar
185,Nehru Nagar
186,OMBR Layout
187,Old Airport Road
188,Old Madras Road
189,Padmanabhanagar
190,Pai Layout
191,Panathur
192,Parappana Agrahara
193,Pattandur Agrahara
194,Poorna Pragna Layout
195,Prithvi Layout
196,R.T. Nagar
197,Rachenahalli
198,Raja Rajeshwari Nagar
199,Rajaji Nagar
200,Rajiv Nagar
201,Ramagondanahalli
202,Ramamurthy Nagar
203,Rayasandra
204,Sahakara Nagar
205,Sanjay nagar
206,Sarakki Nagar
207,Sarjapur
208,Sarjapur  Road
209,Sarjapura - Attibele Road
210,Sector 2 HSR Layout
211,Sector 7 HSR Layout
212,Seegehalli
213,Shampura
214,Shivaji Nagar
215,Singasandra
216,Somasundara Palya
217,Sompura
218,Sonnenahalli
219,Subramanyapura
220,Sultan Palaya
221,TC Palaya
222,Talaghattapura
223,Thanisandra
224,Thigalarapalya
225,Thubarahalli
226,Thyagaraja Nagar
227,Tindlu
228,Tumkur Road
229,Ulsoor
230,Uttarahalli
231,Varthur
232,Varthur Road
233,Vasanthapura
234,Vidyaranyapura
235,Vijayanagar
236,Vishveshwarya Layout
237,Vishwapriya Layout
238,Vittasandra
239,Whitefield
240,Yelachenahalli
241,Yelahanka
242,Yelahanka New Town
243,Yelenahalli
244,Yeshwanthpur
