,level_0,index,0
0,0,4,1st Block Jayanagar
1,1,5,1st Phase JP Nagar
2,2,6,2nd Phase Judicial Layout
3,3,7,2nd Stage Nagarbhavi
4,4,8,5th Block Hbr Layout
5,5,9,5th Phase JP Nagar
6,6,10,6th Phase JP Nagar
7,7,11,7th Phase JP Nagar
8,8,12,8th Phase JP Nagar
9,9,13,9th Phase JP Nagar
10,10,14,AECS Layout
11,11,15,Abbigere
12,12,16,Akshaya Nagar
13,13,17,Ambalipura
14,14,18,Ambedkar Nagar
15,15,19,Amruthahalli
16,16,20,Anandapura
17,17,21,Ananth Nagar
18,18,22,Anekal
19,19,23,Anjanapura
20,20,24,Ardendale
21,21,25,Arekere
22,22,26,Attibele
23,23,27,BEML Layout
24,24,28,BTM 2nd Stage
25,25,29,BTM Layout
26,26,30,Babusapalaya
27,27,31,Badavala Nagar
28,28,32,Balagere
29,29,33,Banashankari
30,30,34,Banashankari Stage II
31,31,35,Banashankari Stage III
32,32,36,Banashankari Stage V
33,33,37,Banashankari Stage VI
34,34,38,Banaswadi
35,35,39,Banjara Layout
36,36,40,Bannerghatta
37,37,41,Bannerghatta Road
38,38,42,Basavangudi
39,39,43,Basaveshwara Nagar
40,40,44,Battarahalli
41,41,45,Begur
42,42,46,Begur Road
43,43,47,Bellandur
44,44,48,Benson Town
45,45,49,Bharathi Nagar
46,46,50,Bhoganhalli
47,47,51,Billekahalli
48,48,52,Binny Pete
49,49,53,Bisuvanahalli
50,50,54,Bommanahalli
51,51,55,Bommasandra
52,52,56,Bommasandra Industrial Area
53,53,57,Bommenahalli
54,54,58,Brookefield
55,55,59,Budigere
56,56,60,CV Raman Nagar
57,57,61,Chamrajpet
58,58,62,Chandapura
59,59,63,Channasandra
60,60,64,Chikka Tirupathi
61,61,65,Chikkabanavar
62,62,66,Chikkalasandra
63,63,67,Choodasandra
64,64,68,Cooke Town
65,65,69,Cox Town
66,66,70,Cunningham Road
67,67,71,Dasanapura
68,68,72,Dasarahalli
69,69,73,Devanahalli
70,70,74,Devarachikkanahalli
71,71,75,Dodda Nekkundi
72,72,76,Doddaballapur
73,73,77,Doddakallasandra
74,74,78,Doddathoguru
75,75,79,Domlur
76,76,80,Dommasandra
77,77,81,EPIP Zone
78,78,82,Electronic City
79,79,83,Electronic City Phase II
80,80,84,Electronics City Phase 1
81,81,85,Frazer Town
82,82,86,GM Palaya
83,83,87,Garudachar Palya
84,84,88,Giri Nagar
85,85,89,Gollarapalya Hosahalli
86,86,90,Gottigere
87,87,91,Green Glen Layout
88,88,92,Gubbalala
89,89,93,Gunjur
90,90,94,HAL 2nd Stage
91,91,95,HBR Layout
92,92,96,HRBR Layout
93,93,97,HSR Layout
94,94,98,Haralur Road
95,95,99,Harlur
96,96,100,Hebbal
